Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
55315959,Breath Mints / Battle Scars,Onyx_and_Elm,"Onyx_and_Elm, Onyx_and_Elm",,"=""""","=""""",0,4.25,Archive of Our Own,ebook,631,2020,,,2022/11/03,to-read,to-read (#20),to-read,,,,0,0
395922,"The Awakening (The Vampire Diaries, #1)",L.J. Smith,"Smith, L.J.",,"=""0061020001""","=""9780061020001""",4,3.33,HarperCollins Publishers,Mass Market Paperback,253,1999,1991,2022/10/20,2022/10/18,,,read,,,,1,0
45463236,To Be Devoured,Sara Tantlinger,"Tantlinger, Sara",,"=""""","=""""",4,3.77,Unnerving,Kindle Edition,133,2019,2019,2022/01/01,2022/10/18,,,read,,,,1,0
2294984,All the Lovely Bad Ones,Mary Downing Hahn,"Hahn, Mary Downing",,"=""0618854673""","=""9780618854677""",4,4.02,Clarion Books,Hardcover,182,2008,2008,2022/01/01,2022/10/18,,,read,,,,1,0
6581334,"13 Treasures (Thirteen Treasures, #1)",Michelle Harrison,"Harrison, Michelle",,"=""0316041483""","=""9780316041485""",4,4.06,Little Brown and Company,Hardcover,368,2010,2009,2022/01/01,2022/10/18,,,read,,,,1,0
52578297,The Midnight Library,Matt Haig,"Haig, Matt",,"=""0525559477""","=""9780525559474""",3,3.98,Viking,Hardcover,288,2020,2020,2022/01/01,2022/10/18,,,read,,,,1,0
57693172,A Flicker in the Dark,Stacy Willingham,"Willingham, Stacy",,"=""1250803829""","=""9781250803825""",4,3.98,Minotaur Books,Hardcover,357,2022,2022,2022/08/10,2022/08/06,,,read,,,,1,0
14554,"If Tomorrow Comes (Tracy Whitney, #1)",Sidney Sheldon,"Sheldon, Sidney",,"=""0006479677""","=""9780006479673""",4,4.07,"William Morrow and Co., Inc.",Hardcover,501,1985,1985,2022/01/01,2022/08/06,,,read,,,,1,0
28243032,We Are Okay,Nina LaCour,"LaCour, Nina",,"=""0525425896""","=""9780525425892""",5,3.93,Dutton Books for Young Readers,Hardcover,236,2017,2017,2022/01/01,2022/07/06,,,read,,,,1,0
60099660,If You Could See the Sun,Ann Liang,"Liang, Ann",,"=""1335915842""","=""9781335915849""",0,4.00,Inkyard Press,Hardcover,346,2022,2022,,2022/07/06,to-read,to-read (#19),to-read,,,,0,0
5152478,Wintergirls,Laurie Halse Anderson,"Anderson, Laurie Halse",,"=""067001110X""","=""9780670011100""",4,3.96,Viking Books for Young Readers,Hardcover,278,2009,2009,2022/01/01,2022/07/01,,,read,,,,1,0
50736031,Breasts and Eggs,Mieko Kawakami,"Kawakami, Mieko","Sam Bett, David  Boyd","=""1609455878""","=""9781609455873""",4,3.85,Europa Editions,Hardcover,430,2020,2008,2022/01/01,2022/07/01,,,read,,,,1,0
60556912,"The Housemaid (The Housemaid, #1)",Freida McFadden,"McFadden, Freida",,"=""1803144378""","=""9781803144375""",3,4.29,Bookouture,Kindle Edition,329,2022,2022,2022/07/01,2022/06/22,,,read,,,,1,0
